timestamp,window_id,phase,nodes,rss_bytes,heap_bytes,stack_bytes,cpu_goroutines,total_unique_ips,detector
1776116475,0,normal,20,21889024,1681664,589824,42,6000,ensemble
1776116475,0,normal,20,22020096,1742160,589824,42,0,ensemble
1776116475,0,normal,20,22020096,1747232,589824,42,0,ensemble
1776116476,1,normal,20,22282240,2041272,589824,42,6000,ensemble
1776116476,1,normal,20,22282240,2101656,589824,42,0,ensemble
1776116476,1,normal,20,22282240,2106504,589824,42,0,ensemble
1776116477,2,normal,20,22675456,2400056,589824,42,6000,ensemble
1776116477,2,normal,20,22806528,2460440,589824,42,0,ensemble
1776116477,2,normal,20,22806528,2465288,589824,42,0,ensemble
1776116478,3,normal,20,23068672,2758856,589824,42,6000,ensemble
1776116478,3,normal,20,23199744,2819240,589824,42,0,ensemble
1776116478,3,normal,20,23199744,2824088,589824,42,0,ensemble
1776116479,4,attack,20,29491200,1870672,655360,42,305906,ensemble
1776116479,4,attack,20,29491200,1896992,688128,42,0,ensemble
1776116479,4,attack,20,29491200,1901952,688128,42,0,ensemble
1776116480,5,attack,20,29884416,4625952,720896,42,305778,ensemble
1776116480,5,attack,20,29884416,4634416,720896,42,0,ensemble
1776116480,5,attack,20,29884416,4639488,720896,42,0,ensemble
1776116481,6,attack,20,30015488,2648832,688128,42,306184,ensemble
1776116482,6,attack,20,30015488,2657296,688128,42,0,ensemble
1776116482,6,attack,20,30015488,2662480,688128,42,0,ensemble
1776116482,7,attack,20,30015488,7566424,688128,42,306137,ensemble
1776116483,7,attack,20,30015488,7572568,688128,42,0,ensemble
1776116483,7,attack,20,30015488,7577752,688128,42,0,ensemble
1776116483,8,normal,20,30015488,7679584,688128,42,6015,ensemble
1776116484,8,normal,20,30015488,7685728,688128,42,0,ensemble
1776116484,8,normal,20,30015488,7690576,688128,42,0,ensemble
1776116484,9,normal,20,30015488,7791968,688128,42,6015,ensemble
1776116485,9,normal,20,30015488,7805096,720896,42,0,ensemble
1776116485,9,normal,20,30015488,7809944,720896,42,0,ensemble
