timestamp,window_id,phase,nodes,rss_bytes,heap_bytes,stack_bytes,cpu_goroutines,total_unique_ips,detector
1776116464,0,normal,10,21757952,1452176,458752,22,3000,ensemble
1776116465,0,normal,10,21757952,1484912,458752,22,0,ensemble
1776116465,0,normal,10,21757952,1489984,458752,22,0,ensemble
1776116465,1,normal,10,21889024,1639960,458752,22,3000,ensemble
1776116466,1,normal,10,21889024,1672584,458752,22,0,ensemble
1776116466,1,normal,10,21889024,1677544,458752,22,0,ensemble
1776116466,2,normal,10,22020096,1827232,458752,22,3000,ensemble
1776116467,2,normal,10,22020096,1859856,458752,22,0,ensemble
1776116467,2,normal,10,22020096,1864704,458752,22,0,ensemble
1776116467,3,normal,10,22151168,2014192,458752,22,3000,ensemble
1776116468,3,normal,10,22151168,2046816,458752,22,0,ensemble
1776116468,3,normal,10,22151168,2051664,458752,22,0,ensemble
1776116468,4,attack,10,26738688,2779952,557056,22,152901,ensemble
1776116469,4,attack,10,27131904,2805216,589824,22,0,ensemble
1776116469,4,attack,10,27131904,2810064,589824,22,0,ensemble
1776116469,5,attack,10,28835840,7492512,589824,22,152680,ensemble
1776116470,5,attack,10,28835840,7498016,589824,22,0,ensemble
1776116470,5,attack,10,28835840,7502864,589824,22,0,ensemble
1776116470,6,attack,10,29622272,3483832,655360,22,153049,ensemble
1776116471,6,attack,10,29622272,3491656,655360,22,0,ensemble
1776116471,6,attack,10,29622272,3496504,655360,22,0,ensemble
1776116471,7,attack,10,29622272,5952136,655360,22,153077,ensemble
1776116472,7,attack,10,29622272,5957640,655360,22,0,ensemble
1776116472,7,attack,10,29622272,5962488,655360,22,0,ensemble
1776116472,8,normal,10,29622272,6015896,655360,22,3005,ensemble
1776116473,8,normal,10,29622272,6021400,655360,22,0,ensemble
1776116473,8,normal,10,29622272,6026248,655360,22,0,ensemble
1776116473,9,normal,10,29622272,6079656,655360,22,3005,ensemble
1776116474,9,normal,10,29622272,6092144,655360,22,0,ensemble
1776116474,9,normal,10,29622272,6097040,655360,22,0,ensemble
