timestamp,metric,value
1776114262,ddos_anomaly_state,1
1776114262,ddos_nodes_total,1
1776114262,ddos_nodes_under_attack,1
1776114262,ddos_global_defense_active,1
1776114262,ddos_loda_score,0
1776114262,ddos_hst_score,0
1776114264,ddos_unique_ips_current_window,15303
1776114264,ddos_ensemble_score,0
1776114264,ddos_anomaly_state,1
1776114264,ddos_nodes_total,1
1776114264,ddos_nodes_under_attack,1
1776114264,ddos_global_defense_active,1
1776114264,ddos_loda_score,0
1776114264,ddos_hst_score,0
1776114266,ddos_unique_ips_current_window,15303
1776114266,ddos_ensemble_score,0
1776114266,ddos_anomaly_state,1
1776114266,ddos_nodes_total,1
1776114266,ddos_nodes_under_attack,1
1776114266,ddos_global_defense_active,1
1776114266,ddos_loda_score,0
1776114266,ddos_hst_score,0
1776114268,ddos_unique_ips_current_window,37083
1776114268,ddos_ensemble_score,0
1776114268,ddos_anomaly_state,1
1776114268,ddos_nodes_total,1
1776114268,ddos_nodes_under_attack,1
1776114268,ddos_global_defense_active,1
1776114268,ddos_loda_score,0
1776114268,ddos_hst_score,0
1776114270,ddos_unique_ips_current_window,37083
1776114270,ddos_ensemble_score,0
1776114270,ddos_anomaly_state,1
1776114270,ddos_nodes_total,1
1776114270,ddos_nodes_under_attack,1
1776114270,ddos_global_defense_active,1
1776114270,ddos_loda_score,0
1776114270,ddos_hst_score,0
1776114272,ddos_unique_ips_current_window,37083
1776114272,ddos_ensemble_score,0
1776114272,ddos_anomaly_state,1
1776114272,ddos_nodes_total,1
1776114272,ddos_nodes_under_attack,1
1776114272,ddos_global_defense_active,1
1776114272,ddos_loda_score,0
1776114272,ddos_hst_score,0
1776114274,ddos_unique_ips_current_window,37083
1776114274,ddos_ensemble_score,0
1776114274,ddos_anomaly_state,1
1776114274,ddos_nodes_total,1
1776114274,ddos_nodes_under_attack,1
1776114274,ddos_global_defense_active,1
1776114274,ddos_loda_score,0
1776114274,ddos_hst_score,0
1776114276,ddos_unique_ips_current_window,37083
1776114276,ddos_ensemble_score,0
1776114276,ddos_anomaly_state,1
1776114276,ddos_nodes_total,1
1776114276,ddos_nodes_under_attack,1
1776114276,ddos_global_defense_active,1
1776114276,ddos_loda_score,0
1776114276,ddos_hst_score,0
1776114278,ddos_unique_ips_current_window,32652
1776114278,ddos_ensemble_score,0
1776114278,ddos_anomaly_state,1
1776114278,ddos_nodes_total,1
1776114278,ddos_nodes_under_attack,1
1776114278,ddos_global_defense_active,1
1776114278,ddos_loda_score,0
1776114278,ddos_hst_score,0
1776114280,ddos_unique_ips_current_window,32652
1776114280,ddos_ensemble_score,0
1776114280,ddos_anomaly_state,1
1776114280,ddos_nodes_total,1
1776114280,ddos_nodes_under_attack,1
1776114280,ddos_global_defense_active,1
1776114280,ddos_loda_score,0
1776114280,ddos_hst_score,0
1776114282,ddos_unique_ips_current_window,32652
1776114282,ddos_ensemble_score,0
1776114282,ddos_anomaly_state,1
1776114282,ddos_nodes_total,1
1776114282,ddos_nodes_under_attack,1
1776114282,ddos_global_defense_active,1
1776114282,ddos_loda_score,0
1776114282,ddos_hst_score,0
1776114284,ddos_unique_ips_current_window,32652
1776114284,ddos_ensemble_score,0
1776114284,ddos_anomaly_state,1
1776114284,ddos_nodes_total,1
1776114284,ddos_nodes_under_attack,1
1776114284,ddos_global_defense_active,1
1776114284,ddos_loda_score,0
1776114284,ddos_hst_score,0
1776114287,ddos_unique_ips_current_window,32652
1776114287,ddos_ensemble_score,0
1776114287,ddos_anomaly_state,1
1776114287,ddos_nodes_total,1
1776114287,ddos_nodes_under_attack,1
1776114287,ddos_global_defense_active,1
1776114287,ddos_loda_score,0
1776114287,ddos_hst_score,0
1776114289,ddos_unique_ips_current_window,34771
1776114289,ddos_ensemble_score,0
1776114289,ddos_anomaly_state,1
1776114289,ddos_nodes_total,1
1776114289,ddos_nodes_under_attack,1
1776114289,ddos_global_defense_active,1
1776114289,ddos_loda_score,0
1776114289,ddos_hst_score,0
1776114291,ddos_unique_ips_current_window,34771
1776114291,ddos_ensemble_score,0
1776114291,ddos_anomaly_state,1
1776114291,ddos_nodes_total,1
1776114291,ddos_nodes_under_attack,1
1776114291,ddos_global_defense_active,1
1776114291,ddos_loda_score,0
1776114291,ddos_hst_score,0
1776114293,ddos_unique_ips_current_window,34771
1776114293,ddos_ensemble_score,0
1776114293,ddos_anomaly_state,1
1776114293,ddos_nodes_total,1
1776114293,ddos_nodes_under_attack,1
1776114293,ddos_global_defense_active,1
1776114293,ddos_loda_score,0
1776114293,ddos_hst_score,0
1776114295,ddos_unique_ips_current_window,34771
1776114295,ddos_ensemble_score,0
1776114295,ddos_anomaly_state,1
1776114295,ddos_nodes_total,1
1776114295,ddos_nodes_under_attack,1
1776114295,ddos_global_defense_active,1
1776114295,ddos_loda_score,0
1776114295,ddos_hst_score,0
1776114297,ddos_unique_ips_current_window,11894
1776114297,ddos_ensemble_score,0
1776114297,ddos_anomaly_state,1
1776114297,ddos_nodes_total,1
1776114297,ddos_nodes_under_attack,1
1776114297,ddos_global_defense_active,1
1776114297,ddos_loda_score,0
1776114297,ddos_hst_score,0
1776114299,ddos_unique_ips_current_window,11894
1776114299,ddos_ensemble_score,0
1776114299,ddos_anomaly_state,1
1776114299,ddos_nodes_total,1
1776114299,ddos_nodes_under_attack,1
1776114299,ddos_global_defense_active,1
1776114299,ddos_loda_score,0
1776114299,ddos_hst_score,0
1776114301,ddos_unique_ips_current_window,11894
1776114301,ddos_ensemble_score,0
1776114301,ddos_anomaly_state,1
1776114301,ddos_nodes_total,1
1776114301,ddos_nodes_under_attack,1
1776114301,ddos_global_defense_active,1
1776114301,ddos_loda_score,0
1776114301,ddos_hst_score,0
1776114303,ddos_unique_ips_current_window,11894
1776114303,ddos_ensemble_score,0
1776114303,ddos_anomaly_state,1
1776114303,ddos_nodes_total,1
1776114303,ddos_nodes_under_attack,1
1776114303,ddos_global_defense_active,1
1776114303,ddos_loda_score,0
1776114303,ddos_hst_score,0
1776114305,ddos_unique_ips_current_window,11894
1776114305,ddos_ensemble_score,0
1776114305,ddos_anomaly_state,1
1776114305,ddos_nodes_total,1
1776114305,ddos_nodes_under_attack,1
1776114305,ddos_global_defense_active,1
1776114305,ddos_loda_score,0
1776114305,ddos_hst_score,0
1776114307,ddos_unique_ips_current_window,551
1776114307,ddos_ensemble_score,0
1776114307,ddos_anomaly_state,0
1776114307,ddos_nodes_total,1
1776114307,ddos_nodes_under_attack,0
1776114307,ddos_global_defense_active,0
1776114307,ddos_loda_score,0
1776114307,ddos_hst_score,0
1776114309,ddos_unique_ips_current_window,551
1776114309,ddos_ensemble_score,0
1776114309,ddos_anomaly_state,0
1776114309,ddos_nodes_total,1
1776114309,ddos_nodes_under_attack,0
1776114309,ddos_global_defense_active,0
1776114309,ddos_loda_score,0
1776114309,ddos_hst_score,0
1776114311,ddos_unique_ips_current_window,551
1776114311,ddos_ensemble_score,0
1776114311,ddos_anomaly_state,0
1776114311,ddos_nodes_total,1
